,type,element_id,text,metadata,filename,page_number,coordinates,text_as_html,filetype,languages,last_modified,parent_id,label
23,NarrativeText,aa1be83dcf352c69360c8469166d1803,Fig. 11.2: One of the prongs of the vibrating tuning fork touching the water surface.,"{'coordinates': {'points': ((895.0, 1916.0), (895.0, 1970.0), (1527.0, 1970.0), (1527.0, 1916.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 1, 'parent_id': 'a320c91252989dcc7f73e3d8012d6cf7', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,a320c91252989dcc7f73e3d8012d6cf7,
24,Title,ddc91231476692fc98a4656393e89081,Rationalised 2023-24,"{'coordinates': {'points': ((746.0, 2193.0), (746.0, 2209.0), (954.0, 2209.0), (954.0, 2193.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 1, 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,,
25,NarrativeText,cbb9004fcfe76b23cbc5aa8c472769ef,Vibrating tuning fork,"{'coordinates': {'points': ((487.0, 296.0), (487.0, 317.0), (702.0, 317.0), (702.0, 296.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 2, 'parent_id': 'ddc91231476692fc98a4656393e89081', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,ddc91231476692fc98a4656393e89081,
26,Title,d709a70f52ecb7b1de8d5fbab2734e46,women GAS,"{'coordinates': {'points': ((435.0, 396.0), (435.0, 412.0), (555.0, 412.0), (555.0, 396.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 2, 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,,
27,Title,309ceedc8c35ccdd1e856c95c823f165,seefveeeeeeen Water,"{'coordinates': {'points': ((406.0, 439.0), (406.0, 453.0), (558.0, 453.0), (558.0, 439.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 2, 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,,
28,NarrativeText,9dcec703efaa1552c6479a23cf9cd6df,Fig. 11.3: Both the prongs of the vibrating tuning fork dipped in water,"{'coordinates': {'points': ((177.0, 607.0), (177.0, 667.0), (809.0, 667.0), (809.0, 607.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 2, 'parent_id': '309ceedc8c35ccdd1e856c95c823f165', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,309ceedc8c35ccdd1e856c95c823f165,
29,NarrativeText,78158c8035c5641c6bd4d9db45199152,From the above activities what do you conclude? Can you produce sound without a vibrating object?,"{'coordinates': {'points': ((178.0, 710.0), (178.0, 808.0), (805.0, 808.0), (805.0, 710.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 2, 'parent_id': '309ceedc8c35ccdd1e856c95c823f165', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,309ceedc8c35ccdd1e856c95c823f165,
30,NarrativeText,892605f4fc7e3dea20a0a7fc70e7c64b,"In the above activities we have produced sound by striking the tuning fork. We can also produce sound by plucking, scratching, rubbing, blowing or shaking different objects. As per the above activities what do we do to the objects? We set the objects vibrating and produce sound. Vibration means a kind of rapid to and fro motion of an object. The sound of the human voice is produced due to vibrations in the vocal cords. When a bird flaps its wings, do you hear any sound? Think how the buzzing sound accompanying a bee is produced. A stretched rubber band when plucked vibrates and produces sound. If you have never done this, then do it and observe the vibration of the stretched rubber band.","{'coordinates': {'points': ((175.0, 816.0), (175.0, 1361.0), (807.0, 1361.0), (807.0, 816.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 2, 'parent_id': '309ceedc8c35ccdd1e856c95c823f165', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,309ceedc8c35ccdd1e856c95c823f165,
31,Title,89c2c761dca30826b7024fe02759c66e,Activity 11.3,"{'coordinates': {'points': ((192.0, 1389.0), (192.0, 1438.0), (756.0, 1438.0), (756.0, 1389.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 2, 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,,
32,NarrativeText,ac4495d19a50cce17fcab6776900cf47,° Make a list of different types of musical instruments and discuss with your friends which part of the instrument vibrates to produce sound.,"{'coordinates': {'points': ((215.0, 1458.0), (215.0, 1607.0), (768.0, 1607.0), (768.0, 1458.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 2, 'parent_id': '89c2c761dca30826b7024fe02759c66e', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,89c2c761dca30826b7024fe02759c66e,
33,Title,76830cce9da806861dd65a4a983f066e,11.2 Propagation of Sound,"{'coordinates': {'points': ((180.0, 1653.0), (180.0, 1699.0), (678.0, 1699.0), (678.0, 1653.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 2, 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,,
34,NarrativeText,fc7628adf1e81544f9d9d67fde7ba489,"Sound is produced by vibrating objects. The matter or substance through which sound is transmitted is called a medium. It can be solid, liquid or gas. Sound moves through a medium from the point of generation to the listener. When an object vibrates, it sets the particles of the medium around it vibrating. The particles do not travel all the way from","{'coordinates': {'points': ((176.0, 1723.0), (176.0, 1988.0), (805.0, 1988.0), (805.0, 1723.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 2, 'parent_id': '76830cce9da806861dd65a4a983f066e', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,76830cce9da806861dd65a4a983f066e,
35,UncategorizedText,0825a2681dcf77528cda8931c3dd8c20,128,"{'coordinates': {'points': ((234.0, 2022.0), (234.0, 2039.0), (276.0, 2039.0), (276.0, 2022.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 2, 'parent_id': '76830cce9da806861dd65a4a983f066e', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,76830cce9da806861dd65a4a983f066e,
36,NarrativeText,b16ed54bc27f623c96fa39538943e383,the vibrating object to the ear. A particle of the medium in contact with the vibrating object is first displaced from its equilibrium position. It then exerts a force on the adjacent particle. As a result of which the adjacent particle gets displaced from its position of rest. After displacing the adjacent particle the first particle comes back to its original position. This process continues in the medium till the sound reaches your ear. The disturbance created by a source of sound in the medium travels through the medium and not the particles of the medium.,"{'coordinates': {'points': ((856.0, 241.0), (856.0, 676.0), (1486.0, 676.0), (1486.0, 241.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 2, 'parent_id': '76830cce9da806861dd65a4a983f066e', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,76830cce9da806861dd65a4a983f066e,
37,NarrativeText,ad60de17f17d81e1aa0f0ce159003bea,"A wave is a disturbance that moves through a medium when the particles of the medium set neighbouring particles into motion. They in turn produce similar motion in others. The particles of the medium do not move forward themselves, but the disturbance is carried forward. This is what happens during propagation of sound in a medium, hence sound can be visualised as a wave. Sound waves are characterised by the motion of particles in the medium and are called mechanical waves.","{'coordinates': {'points': ((855.0, 682.0), (855.0, 1075.0), (1483.0, 1075.0), (1483.0, 682.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 2, 'parent_id': '76830cce9da806861dd65a4a983f066e', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,76830cce9da806861dd65a4a983f066e,
38,NarrativeText,09a0ecc83b9943c6a9d4164ffd0c6a62,"Air is the most common medium through which sound travels. When a vibrating object moves forward, it pushes and compresses the air in front of it creating a region of high pressure. This region is called a compression (C), as shown in Fig. 11.4. This compression starts to move away from the vibrating object. When the vibrating object moves backwards, it creates a region of low pressure called rarefaction (R), as shown in Fig. 11.4. As the object moves back and forth rapidly, a series of compressions and rarefactions is created in the air. These make the sound wave that","{'coordinates': {'points': ((854.0, 1088.0), (854.0, 1516.0), (1483.0, 1516.0), (1483.0, 1088.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 2, 'parent_id': '76830cce9da806861dd65a4a983f066e', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,76830cce9da806861dd65a4a983f066e,
39,NarrativeText,0f4b227f4f0d4c4868e4c31c5ea022ba,Fig. 11.4: A vibrating object creating a series of compressions (C) and rarefactions (R) in the medium.,"{'coordinates': {'points': ((853.0, 1908.0), (853.0, 1996.0), (1488.0, 1996.0), (1488.0, 1908.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 2, 'parent_id': '76830cce9da806861dd65a4a983f066e', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,76830cce9da806861dd65a4a983f066e,
40,Title,7e4ea9225496d01dbc2162d760647e95,SCIENCE,"{'coordinates': {'points': ((1407.0, 2023.0), (1407.0, 2039.0), (1485.0, 2039.0), (1485.0, 2023.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 2, 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,,
41,Title,8d72b3a590d089a43b5eefb96816d90a,Rationalised 2023-24,"{'coordinates': {'points': ((746.0, 2193.0), (746.0, 2209.0), (954.0, 2209.0), (954.0, 2193.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 2, 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,,
42,NarrativeText,af29179a5e1e67af052bfb4f7380c9dc,"propagates through the medium. Compression is the region of high pressure and rarefaction is the region of low pressure. Pressure is related to the number of particles of a medium in a given volume. More density of the particles in the medium gives more pressure and vice versa. Thus, propagation of sound can be visualised as propagation of density variations or pressure variations in the medium.","{'coordinates': {'points': ((217.0, 241.0), (217.0, 567.0), (847.0, 567.0), (847.0, 241.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 3, 'parent_id': '8d72b3a590d089a43b5eefb96816d90a', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,8d72b3a590d089a43b5eefb96816d90a,
43,Title,074a08c90679a41069762fae6d5ba3d3,uestion,"{'coordinates': {'points': ((284.0, 614.0), (284.0, 648.0), (429.0, 648.0), (429.0, 614.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 3, 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,,
44,ListItem,8b1c619b2d39dc3b2ad3e539b9e22396,1. Howdoes the sound produced by a vibrating object in a medium reach your ear?,"{'coordinates': {'points': ((327.0, 678.0), (327.0, 776.0), (828.0, 776.0), (828.0, 678.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 3, 'parent_id': '074a08c90679a41069762fae6d5ba3d3', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,074a08c90679a41069762fae6d5ba3d3,
45,ListItem,cd19d365b1eb3f66dba92e9c95b2f268,2. Explain how sound is produced by your school bell.,"{'coordinates': {'points': ((324.0, 784.0), (324.0, 846.0), (827.0, 846.0), (827.0, 784.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 3, 'parent_id': '074a08c90679a41069762fae6d5ba3d3', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,074a08c90679a41069762fae6d5ba3d3,
